Name,Review,UpVotes,Rating,Date
Khemraj Bhatt,"It's good app .. but I think there is some problems because I am using tiktok from last 2 years . And uploading my videos on my I'd @khemraj_bhatt1 but not getting views on in . I am very tired of seeing this all the time.. I m posting my videos in hope that I will get likes and lots of views but it...
Full Review",66,Rated 2 stars out of five stars,"April 27, 2020"
,,,,
Aanurag 05,"Great app, but many features aren't available to me . I have a redmi note 4, so I just can't understand why they wouldn't be . I 've contacted Tiktok multiple times to see why that is and each time, I have gotten no response. Still have not gotten a response on being unable to use green screen plus ...
Full Review",38,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
Lella,"It's a really good app, but I suggest to do something about the control of the content and the profile info's etc. Lately a lot of people have been doing explicit videos (p*ornography, heat, nudity etc) and sometimes it takes a lot of time to take down the videos or the profile pictures etc. (There ...
Full Review",43,Rated 1 stars out of five stars,"April 24, 2020"
,,,,
Iulia B.,"It listens to you 24/7. I watched a TV series on Netflix and just started receiving videos about people playing the characters from the TV series. I never searched for the TV series, just talked about it around the house and watched it with my phone in the same room. It happened more than once, but ...
Full Review",467,Rated 4 stars out of five stars,"April 20, 2020"
,,,,
Charles Phethean,"The experience had been good but would have gotten two more star if this feature was available. Having the ability to change your video thumbnail after you post your video is huge. I have some videos I wish more people would look at but because I forgot to change the thumbnail no one is looking at t...
Full Review",341,Rated 1 stars out of five stars,"April 20, 2020"
,,,,
the masked kid,"I love the game it's very entertaining but once I had saved a whole ton of tiktok and they disapered. I don't know if it was a bug but I ended up with the nine I saved last night. I haven't updated but there must be a bug... I think over all the game is amazing and a real time killer! It's really am...
Full Review",110,Rated 3 stars out of five stars,"April 19, 2020"
,,,,
TikTok Inc.,"Love it its a great app everything about it is positive funny and great loving! Love the drama and all the stories everyone has to say and i love watching the youtubers so i dont always have to wait for the next vlog lol but other thang that its awesome great n funny like i said.... i love all the v...
Full Review",,Rated 4 stars out of five stars,"April 23, 2020"
,,,,
Angelica Harris,"So I want to start off with the fact that this app is so flipping addicting but in the most positive way. You can interact with people and watch so many videos. You can choose the content you want to see, become famous like charli damelio and all sorts of things. You can dance sing, draw and really ...
Full Review",483,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Ilaria Telesca,"amazing. I gained followers fast and the effects are AMAZING. the only problem is, that I have 3k followers but I can't go live? � I just don't have the button. but other than that, I love the app and highly recommend it to anyone who is bored a lot or want to be famous. ��love the app. it's just...
Full Review",3434,Rated 5 stars out of five stars,"April 20, 2020"
,,,,
Inge Barnard,"I would like to say that I really like tik tok, it's very fun to make videos. My only problem is that for iPhones it's very easy to use the editor options for this app. While androids have to use other apps to actually edit the videos. iPhone users have the adjust button to help them with adjusting ...
Full Review",368,Rated 4 stars out of five stars,"April 20, 2020"
,,,,
Dom the wolf,"HI I Like this app so much and I love using it but there is just one thing that I want to share that Its been 50 days I am using this app and I have got 1000 followers with 50k likes and 1000 followers is the criteria to get live option but I have not received the live option so if you can please gi...
Full Review",9,Rated 4 stars out of five stars,"April 14, 2020"
,,,,
TikTok Inc.,"I do love this app, however, it could use some useful tools such as allowing caption editing after posting (some people do not like misspelled words in their caption), being able to reapply a sound to a video if the original creator rebukes their sound would be a considerate feature, AND we need a w...
Full Review",150,Rated 5 stars out of five stars,"April 23, 2020"
,,,,
Aryan Arora,"Tiktok is one of the easiest apps to control. There's no problems to fix. It's easy to get tiktok famous because of the for you page. It's also very helpful. There's so much things you can learn from it. From life hacks to DIYs they help out in your life. There's also so much categories to pick from...
Full Review",229,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Emma Thornberry,"There needs to be a change to some features, it's bothering me so much that I can't see who viewed my stories on my archives/highlights after 24 hours. It used to be doable some time ago, but y'all took it away, for what? Second, There's gotta be a feature to add AND remove pictures to a slide post....
Full Review",144,Rated 4.5 stars out of five stars,"April 29, 2020"
,,,,
Da Feef,"It's..okay. Used to think pretty highly about IG but recently it runs like it needs an update. When people post multiple photos sometimes no matter how carefully I try, it will scroll instead of swipe to view more. Simple fix..being able to tap on and look at one specific group of pictures on a sing...
Full Review",55,Rated 1 stars out of five stars,"April 29, 2020"
,,,,
Joshua Lopez-Brown,"The app has a few problems but overall I'm satisfied with it. During a video call, there may be points in time where if one or more people have their camera on, there will no longer be audio, and even after several hangups, it will do the same thing until eventually it just goes away. Every other pa...
Full Review",22,Rated 2 stars out of five stars,"April 29, 2020"
,,,,
Maryam Salih,"It's one of my favourite apps, but unfortunately this app has a lot of issues, recently i've been struggling with uploading any pics/vids as a post or even to set it as my profile pic, it has techincal issue where it doesn't show any of my pics/vids from my gallery to pick one.. It shows empty squar...
Full Review",403,Rated 3 stars out of five stars,"April 28, 2020"
